Time Step (s),Cycle Speed (m/s),Grade,Temperature (C),Running Status
468,16.049,0.006,26,RunOn
469,18.056,0.007,26,RunOn
470,18.056,0.007,26,RunOn
471,19.074,0.006,26,RunOn
472,20.093,0.006,26,RunOn
473,21.111,0.005,26,RunOn
474,22.13,0.005,26,RunOn
475,23.148,0.004,26,RunOn
476,24.167,0.004,26,RunOn
477,25.185,0.003,26,RunOn
478,26.204,0.003,26,RunOn
479,27.222,0.002,26,RunOn
480,27.222,0.002,26,RunOn
481,26.253,0.002,26,RunOn
482,25.284,0.002,26,RunOn
483,24.315,0.002,26,RunOn
484,23.346,0.002,26,RunOn
485,22.377,0.003,26,RunOn
486,21.407,0.003,26,RunOn
487,20.438,0.003,26,RunOn
488,19.469,0.003,26,RunOn
489,18.5,0.003,26,RunOn
490,18.5,0.003,26,RunOn
491,17.966,0.002,26,RunOn
492,17.432,0.001,26,RunOn
493,16.898,-0.001,26,RunOn
494,16.364,-0.002,26,RunOn
495,15.83,-0.003,26,RunOn
496,15.296,-0.004,26,RunOn
497,14.762,-0.006,26,RunOn
498,14.228,-0.007,26,RunOn
499,13.694,-0.008,26,RunOn
500,13.694,-0.008,26,RunOn
501,14.04,-0.007,26,RunOn
502,14.386,-0.007,26,RunOn
503,14.731,-0.006,26,RunOn
504,15.077,-0.006,26,RunOn
505,15.423,-0.005,26,RunOn
506,15.769,-0.005,26,RunOn
507,16.114,-0.004,26,RunOn
508,16.46,-0.004,26,RunOn
509,16.806,-0.003,26,RunOn
510,16.806,-0.003,26,RunOn
511,16.935,-0.003,26,RunOn
512,17.065,-0.003,26,RunOn
513,17.194,-0.003,26,RunOn
514,17.324,-0.003,26,RunOn
515,17.454,-0.003,26,RunOn
516,17.583,-0.003,26,RunOn
517,17.713,-0.003,26,RunOn
518,17.843,-0.003,26,RunOn
519,17.972,-0.003,26,RunOn
520,17.972,-0.003,26,RunOn
521,17.515,-0.003,26,RunOn
522,17.059,-0.003,26,RunOn
523,16.602,-0.004,26,RunOn
524,16.145,-0.004,26,RunOn
525,15.688,-0.004,26,RunOn
526,15.231,-0.004,26,RunOn
527,14.775,-0.005,26,RunOn
528,14.318,-0.005,26,RunOn
529,13.861,-0.005,26,RunOn
530,13.861,-0.005,26,RunOn
531,12.321,-0.004,26,RunOn
532,10.781,-0.004,26,RunOn
533,9.241,-0.003,26,RunOn
534,7.701,-0.003,26,RunOn
535,6.16,-0.002,26,RunOn
536,4.62,-0.002,26,RunOn
537,3.08,-0.001,26,RunOn
538,1.54,-0.001,26,RunOn
539,0,0,26,RunOn
540,0,0,26,RunOn
541,0.293,-0.001,26,RunOn
542,0.586,-0.002,26,RunOn
543,0.88,-0.002,26,RunOn
544,1.173,-0.003,26,RunOn
545,1.466,-0.004,26,RunOn
546,1.759,-0.005,26,RunOn
547,2.052,-0.005,26,RunOn
548,2.346,-0.006,26,RunOn
549,2.639,-0.007,26,RunOn
550,2.639,-0.007,26,RunOn
551,2.509,-0.007,26,RunOn
552,2.38,-0.007,26,RunOn
553,2.25,-0.007,26,RunOn
554,2.12,-0.007,26,RunOn
555,1.991,-0.006,26,RunOn
556,1.861,-0.006,26,RunOn
557,1.731,-0.006,26,RunOn
558,1.602,-0.006,26,RunOn
559,1.472,-0.006,26,RunOn
560,1.472,-0.006,26,RunOn
561,1.309,-0.005,26,RunOn
562,1.145,-0.005,26,RunOn
563,0.981,-0.004,26,RunOn
564,0.818,-0.003,26,RunOn
565,0.654,-0.003,26,RunOn
566,0.491,-0.002,26,RunOn
567,0.327,-0.001,26,RunOn
568,0.164,-0.001,26,RunOn
569,0,0,26,RunOn
570,0,0,26,RunOn
571,0,0,26,RunOn
572,0,0,26,RunOn
573,0,0,26,RunOn
574,0,0,26,RunOn
575,0,0,26,RunOn
576,0,0,26,RunOn
577,0,0,26,RunOn
578,0,0,26,RunOn
579,0,0,26,RunOn
580,0,0,26,RunOn
581,0,0,26,RunOn
582,0,0,26,RunOn
583,0,0,26,RunOn
584,0,0,26,RunOn
585,0,0,26,RunOn
586,0,0,26,RunOn
587,0,0,26,RunOn
588,0,0,26,RunOn
589,0,0,26,RunOn
590,0,0,26,RunOn
591,0,0,26,RunOn
592,0,0,26,RunOn
593,0,0,26,RunOn
594,0,0,26,RunOn
595,0,0,26,RunOn
596,0,0,26,RunOn
597,0,0,26,RunOn
598,0,0,26,RunOn
599,0,0,26,RunOn
600,0,0,26,RunOn
601,0.386,0,26,RunOn
602,0.772,0,26,RunOn
603,1.157,0,26,RunOn
604,1.543,0,26,RunOn
605,1.929,0,26,RunOn
606,2.315,0,26,RunOn
607,2.701,0,26,RunOn
608,3.086,0,26,RunOn
609,3.472,0,26,RunOn
610,3.472,0,26,RunOn
611,3.29,0,26,RunOn
612,3.108,0,26,RunOn
613,2.926,0,26,RunOn
614,2.744,0,26,RunOn
615,2.562,0,26,RunOn
616,2.38,0,26,RunOn
617,2.198,0,26,RunOn
618,2.015,0,26,RunOn
619,1.833,0,26,RunOn
620,1.833,0,26,RunOn
621,1.63,0,26,RunOn
622,1.426,0,26,RunOn
623,1.222,0,26,RunOn
624,1.019,0,26,RunOn
625,0.815,0,26,RunOn
626,0.611,0,26,RunOn
627,0.407,0,26,RunOn
628,0.204,0,26,RunOn
629,0,0,26,RunOn
630,0,0,26,RunOn
631,0,0,26,RunOn
632,0,0,26,RunOn
633,0,0,26,RunOn
634,0,0,26,RunOn
635,0,0,26,RunOn
636,0,0,26,RunOn
637,0,0,26,RunOn
638,0,0,26,RunOn
639,0,0,26,RunOn
640,0,0,26,RunOn
641,0,0,26,RunOn
642,0,0,26,RunOn
643,0,0,26,RunOn
644,0,0,26,RunOn
645,0,0,26,RunOn
646,0,0,26,RunOn
647,0,0,26,RunOn
648,0,0,26,RunOn
649,0,0,26,RunOn
650,0,0,26,RunOn
651,0,0,26,RunOn
652,0,0,26,RunOn
653,0,0,26,RunOn
654,0,0,26,RunOn
655,0,0,26,RunOn
656,0,0,26,RunOn
657,0,0,26,RunOn
658,0,0,26,RunOn
659,0,0,26,RunOn
660,0,0,26,RunOn
661,0,0,26,RunOn
662,0,0,26,RunOn
663,0,0,26,RunOn
664,0,0,26,RunOn
665,0,0,26,RunOn
666,0,0,26,RunOn
667,0,0,26,RunOn
668,0,0,26,RunOn
669,0,0,26,RunOn
670,0,0,26,RunOn
671,0,0,26,RunOn
672,0,0,26,RunOn
673,0,0,26,RunOn
674,0,0,26,RunOn
675,0,0,26,RunOn
676,0,0,26,RunOn
677,0,0,26,RunOn
678,0,0,26,RunOn
679,0,0,26,RunOn
680,0,0,26,RunOn
681,0,0,26,RunOn
682,0,0,26,RunOn
683,0,0,26,RunOn
684,0,0,26,RunOn
685,0,0,26,RunOn
686,0,0,26,RunOn
687,0,0,26,RunOn
688,0,0,26,RunOn
689,0,0,26,RunOn
690,0,0,26,RunOn
691,0,0,26,RunOn
692,0,0,26,RunOn
693,0,0,26,RunOn
694,0,0,26,RunOn
695,0,0,26,RunOn
696,0,0,26,RunOn
697,0,0,26,RunOn
698,0,0,26,RunOn
699,0,0,26,RunOn
700,0,0,26,RunOn
701,0,0,26,RunOn
702,0,0,26,RunOn
703,0,0,26,RunOn
704,0,0,26,RunOn
705,0,0,26,RunOn
706,0,0,26,RunOn
707,0,0,26,RunOn
708,0,0,26,RunOn
709,0,0,26,RunOn
710,0,0,26,RunOn
711,0.182,0,26,RunOn
712,0.364,0,26,RunOn
713,0.546,0,26,RunOn
714,0.728,0,26,RunOn
715,0.91,0,26,RunOn
716,1.093,0,26,RunOn
717,1.275,0,26,RunOn
718,1.457,0,26,RunOn
719,1.639,0,26,RunOn
720,1.639,0,26,RunOn
721,1.457,0,26,RunOn
722,1.275,0,26,RunOn
723,1.093,0,26,RunOn
724,0.91,0,26,RunOn
725,0.728,0,26,RunOn
726,0.546,0,26,RunOn
727,0.364,0,26,RunOn
728,0.182,0,26,RunOn
729,0,0,26,RunOn
730,0,0,26,RunOn
731,0,0,26,RunOn
732,0,0,26,RunOn
733,0,0,26,RunOn
734,0,0,26,RunOn
735,0,0,26,RunOn
736,0,0,26,RunOn
737,0,0,26,RunOn
738,0,0,26,RunOn
739,0,0,26,RunOn
740,0,0,26,RunOn
741,0,0,26,RunOn
742,0,0,26,RunOn
743,0,0,26,RunOn
744,0,0,26,RunOn
745,0,0,26,RunOn
746,0,0,26,RunOn
747,0,0,26,RunOn
748,0,0,26,RunOn
749,0,0,26,RunOn
750,0,0,26,RunOn
751,0,0,26,RunOn
752,0,0,26,RunOn
753,0,0,26,RunOn
754,0,0,26,RunOn
755,0,0,26,RunOn
756,0,0,26,RunOn
757,0,0,26,RunOn
758,0,0,26,RunOn
759,0,0,26,RunOn
760,0,0,26,RunOn
761,0,0,26,RunOn
762,0,0,26,RunOn
763,0,0,26,RunOn
764,0,0,26,RunOn
765,0,0,26,RunOn
766,0,0,26,RunOn
767,0,0,26,RunOn
768,0,0,26,RunOn
769,0,0,26,RunOn
770,0,0,26,RunOn
771,0,0,26,RunOn
772,0,0,26,RunOn
773,0,0,26,RunOn
774,0,0,26,RunOn
775,0,0,26,RunOn
776,0,0,26,RunOn
777,0,0,26,RunOn
778,0,0,26,RunOn
779,0,0,26,RunOn
780,0,0,26,RunOn
781,0,0,26,RunOn
782,0,0,26,RunOn
783,0,0,26,RunOn
784,0,0,26,RunOn
785,0,0,26,RunOn
786,0,0,26,RunOn
787,0,0,26,RunOn
788,0,0,26,RunOn
789,0,0,26,RunOn
790,0,0,26,RunOn
791,0,0,26,RunOn
792,0,0,26,RunOn
793,0,0,26,RunOn
794,0,0,26,RunOn
795,0,0,26,RunOn
796,0,0,26,RunOn
797,0,0,26,RunOn
798,0,0,26,RunOn
799,0,0,26,RunOn
800,0,0,26,RunOn
801,0,0,26,RunOn
802,0,0,26,RunOn
803,0,0,26,RunOn
804,0,0,26,RunOn
805,0,0,26,RunOn
806,0,0,26,RunOn
807,0,0,26,RunOn
808,0,0,26,RunOn
809,0,0,26,RunOn
810,0,0,26,RunOn
811,0.201,0,26,RunOn
812,0.401,0,26,RunOn
813,0.602,0,26,RunOn
814,0.802,0,26,RunOn
815,1.003,0,26,RunOn
816,1.204,0,26,RunOn
817,1.404,0,26,RunOn
818,1.605,0,26,RunOn
819,1.806,0,26,RunOn
820,1.806,0,26,RunOn
821,1.605,0,26,RunOn
822,1.404,0,26,RunOn
823,1.204,0,26,RunOn
824,1.003,0,26,RunOn
825,0.802,0,26,RunOn
826,0.602,0,26,RunOn
827,0.401,0,26,RunOn
828,0.201,0,26,RunOn
829,0,0,26,RunOn
830,0,0,26,RunOn
831,0,0,26,RunOn
832,0,0,26,RunOn
833,0,0,26,RunOn
834,0,0,26,RunOn
835,0,0,26,RunOn
836,0,0,26,RunOn
837,0,0,26,RunOn
838,0,0,26,RunOn
839,0,0,26,RunOn
840,0,0,26,RunOn
841,0,0,26,RunOn
842,0,0,26,RunOn
843,0,0,26,RunOn
844,0,0,26,RunOn
845,0,0,26,RunOn
846,0,0,26,RunOn
847,0,0,26,RunOn
848,0,0,26,RunOn
849,0,0,26,RunOn
850,0,0,26,RunOn
851,0,0,26,RunOn
852,0,0,26,RunOn
853,0,0,26,RunOn
854,0,0,26,RunOn
855,0,0,26,RunOn
856,0,0,26,RunOn
857,0,0,26,RunOn
858,0,0,26,RunOn
859,0,0,26,RunOn
860,0,0,26,RunOn
861,0,0,26,RunOn
862,0,0,26,RunOn
863,0,0,26,RunOn
864,0,0,26,RunOn
865,0,0,26,RunOn
866,0,0,26,RunOn
867,0,0,26,RunOn
868,0,0,26,RunOn
869,0,0,26,RunOn
870,0,0,26,RunOn
871,0,0,26,RunOn
872,0,0,26,RunOn
873,0,0,26,RunOn
874,0,0,26,RunOn
875,0,0,26,RunOn
876,0,0,26,RunOn
877,0,0,26,RunOn
878,0,0,26,RunOn
879,0,0,26,RunOn
880,0,0,26,RunOn
881,0.198,0,26,RunOn
882,0.395,0,26,RunOn
883,0.593,0,26,RunOn
884,0.79,0,26,RunOn
885,0.988,0,26,RunOn
886,1.185,0,26,RunOn
887,1.383,0,26,RunOn
888,1.58,0,26,RunOn
889,1.778,0,26,RunOn
890,1.778,0,26,RunOn
891,1.58,0,26,RunOn
892,1.383,0,26,RunOn
893,1.185,0,26,RunOn
894,0.988,0,26,RunOn
895,0.79,0,26,RunOn
896,0.593,0,26,RunOn
897,0.395,0,26,RunOn
898,0.198,0,26,RunOn
899,0,0,26,RunOn
900,0,0,26,RunOn
901,0,0,26,RunOn
902,0,0,26,RunOn
903,0,0,26,RunOn
904,0,0,26,RunOn
905,0,0,26,RunOn
906,0,0,26,RunOn
907,0,0,26,RunOn
908,0,0,26,RunOn
909,0,0,26,RunOn
910,0,0,26,RunOn
911,0,0,26,RunOn
912,0,0,26,RunOn
913,0,0,26,RunOn
914,0,0,26,RunOn
915,0,0,26,RunOn
916,0,0,26,RunOn
917,0,0,26,RunOn
918,0,0,26,RunOn
919,0,0,26,RunOn
920,0,0,26,RunOn
921,0.34,0,26,RunOn
922,0.679,0,26,RunOn
923,1.019,0,26,RunOn
924,1.358,0,26,RunOn
925,1.698,0,26,RunOn
926,2.037,0,26,RunOn
927,2.377,0,26,RunOn
928,2.716,0,26,RunOn
929,3.056,0,26,RunOn
930,3.056,0,26,RunOn
931,2.716,0,26,RunOn
932,2.377,0,26,RunOn
933,2.037,0,26,RunOn
934,1.698,0,26,RunOn
935,1.358,0,26,RunOn
936,1.019,0,26,RunOn
937,0.679,0,26,RunOn
938,0.34,0,26,RunOn
939,0,0,26,RunOn
940,0,0,26,RunOn
941,0,0,26,RunOn
942,0,0,26,RunOn
943,0,0,26,RunOn
944,0,0,26,RunOn
945,0,0,26,RunOn
946,0,0,26,RunOn
947,0,0,26,RunOn
948,0,0,26,RunOn
949,0,0,26,RunOn
950,0,0,26,RunOn
951,0,0,26,RunOn
952,0,0,26,RunOn
953,0,0,26,RunOn
954,0,0,26,RunOn
955,0,0,26,RunOn
956,0,0,26,RunOn
957,0,0,26,RunOn
958,0,0,26,RunOn
959,0,0,26,RunOn
960,0,0,26,RunOn
961,0,0,26,RunOn
962,0,0,26,RunOn
963,0,0,26,RunOn
964,0,0,26,RunOn
965,0,0,26,RunOn
966,0,0,26,RunOn
967,0,0,26,RunOn
968,0,0,26,RunOn
969,0,0,26,RunOn
970,0,0,26,RunOn
971,0,0,26,RunOn
972,0,0,26,RunOn
973,0,0,26,RunOn
974,0,0,26,RunOn
975,0,0,26,RunOn
976,0,0,26,RunOn
977,0,0,26,RunOn
978,0,0,26,RunOn
979,0,0,26,RunOn
980,0,0,26,RunOn
981,0,0,26,RunOn
982,0,0,26,RunOn
983,0,0,26,RunOn
984,0,0,26,RunOn
985,0,0,26,RunOn
986,0,0,26,RunOn
987,0,0,26,RunOn
988,0,0,26,RunOn
989,0,0,26,RunOn
990,0,0,26,RunOn
991,0,0,26,RunOn
992,0,0,26,RunOn
993,0,0,26,RunOn
994,0,0,26,RunOn
995,0,0,26,RunOn
996,0,0,26,RunOn
